,Bat1,Runs,BF,SR,4s,6s,Opposition,Ground,Start Date,ODI_NO
127,6,6,20,30.0,1,0, New Zealand,Auckland,25 Jan 2014,ODI # 3462
128,2,2,10,20.0,0,0, New Zealand,Hamilton,28 Jan 2014,ODI # 3465
129,82,82,78,105.12,7,3, New Zealand,Wellington,31 Jan 2014,ODI # 3467
130,136,136,122,111.47,16,2, Bangladesh,Fatullah,26 Feb 2014,ODI # 3474
131,48,48,51,94.11,4,1, Sri Lanka,Fatullah,28 Feb 2014,ODI # 3476
132,5,5,11,45.45,0,0, Pakistan,Mirpur,2 Mar 2014,ODI # 3479
133,DNB,0,0,0.0,-,-, Afghanistan,Mirpur,5 Mar 2014,ODI # 3483
134,0,0,3,0.0,0,0, England,Cardiff,27 Aug 2014,ODI # 3517
135,40,40,50,80.0,2,1, England,Nottingham,30 Aug 2014,ODI # 3520
136,1*,1,3,33.33,0,0, England,Birmingham,2 Sep 2014,ODI # 3523
137,13,13,21,61.9,2,0, England,Leeds,5 Sep 2014,ODI # 3525
138,2,2,5,40.0,0,0, West Indies,Kochi,8 Oct 2014,ODI # 3531
139,62,62,78,79.48,5,0, West Indies,Delhi,11 Oct 2014,ODI # 3533
140,127,127,114,111.4,13,3, West Indies,Dharamsala,17 Oct 2014,ODI # 3535
141,22,22,21,104.76,2,0, Sri Lanka,Cuttack,2 Nov 2014,ODI # 3539
142,49,49,44,111.36,2,2, Sri Lanka,Ahmedabad,6 Nov 2014,ODI # 3540
143,53,53,61,86.88,4,1, Sri Lanka,Hyderabad,9 Nov 2014,ODI # 3543
